Date,Value
01/01/29,4.62
01/02/29,4.66
01/03/29,4.7
01/04/29,4.69
01/05/29,4.7
01/06/29,4.77
01/07/29,4.77
01/08/29,4.79
01/09/29,4.8
01/10/29,4.77
01/11/29,4.76
01/12/29,4.67
01/01/30,4.66
01/02/30,4.69
01/03/30,4.62
01/04/30,4.6
01/05/30,4.6
01/06/30,4.57
01/07/30,4.52
01/08/30,4.47
01/09/30,4.42
01/10/30,4.42
01/11/30,4.47
01/12/30,4.52
01/01/31,4.42
01/02/31,4.43
01/03/31,4.39
01/04/31,4.4
01/05/31,4.37
01/06/31,4.36
01/07/31,4.36
01/08/31,4.4
01/09/31,4.55
01/10/31,4.99
01/11/31,4.94
01/12/31,5.32
01/01/32,5.2
01/02/32,5.23
01/03/32,4.98
01/04/32,5.17
01/05/32,5.36
01/06/32,5.41
01/07/32,5.26
01/08/32,4.91
01/09/32,4.7
01/10/32,4.64
01/11/32,4.63
01/12/32,4.59
01/01/33,4.44
01/02/33,4.48
01/03/33,4.68
01/04/33,4.78
01/05/33,4.63
01/06/33,4.46
01/07/33,4.36
01/08/33,4.3
01/09/33,4.36
01/10/33,4.34
01/11/33,4.54
01/12/33,4.5
01/01/34,4.35
01/02/34,4.2
01/03/34,4.13
01/04/34,4.07
01/05/34,4.01
01/06/34,3.93
01/07/34,3.89
01/08/34,3.93
01/09/34,3.96
01/10/34,3.9
01/11/34,3.86
01/12/34,3.81
01/01/35,3.77
01/02/35,3.69
01/03/35,3.67
01/04/35,3.66
01/05/35,3.65
01/06/35,3.61
01/07/35,3.56
01/08/35,3.6
01/09/35,3.59
01/10/35,3.52
01/11/35,3.47
01/12/35,3.44
01/01/36,3.37
01/02/36,3.32
01/03/36,3.29
01/04/36,3.29
01/05/36,3.27
01/06/36,3.24
01/07/36,3.23
01/08/36,3.21
01/09/36,3.18
01/10/36,3.18
01/11/36,3.15
01/12/36,3.1
01/01/37,3.1
01/02/37,3.22
01/03/37,3.32
01/04/37,3.42
01/05/37,3.33
01/06/37,3.28
01/07/37,3.25
01/08/37,3.24
01/09/37,3.28
01/10/37,3.27
01/11/37,3.24
01/12/37,3.21
01/01/38,3.17
01/02/38,3.2
01/03/38,3.22
01/04/38,3.3
01/05/38,3.22
01/06/38,3.26
01/07/38,3.22
01/08/38,3.18
01/09/38,3.21
01/10/38,3.15
01/11/38,3.1
01/12/38,3.08
01/01/39,3.01
01/02/39,3
01/03/39,2.99
01/04/39,3.02
01/05/39,2.97
01/06/39,2.92
01/07/39,2.89
01/08/39,2.93
01/09/39,3.25
01/10/39,3.15
01/11/39,3
01/12/39,2.94
01/01/40,2.88
01/02/40,2.86
01/03/40,2.84
01/04/40,2.82
01/05/40,2.93
01/06/40,2.96
01/07/40,2.88
01/08/40,2.85
01/09/40,2.82
01/10/40,2.79
01/11/40,2.75
01/12/40,2.71
01/01/41,2.75
01/02/41,2.78
01/03/41,2.8
01/04/41,2.82
01/05/41,2.81
01/06/41,2.77
01/07/41,2.74
01/08/41,2.74
01/09/41,2.75
01/10/41,2.73
01/11/41,2.72
01/12/41,2.8
01/01/42,2.83
01/02/42,2.85
01/03/42,2.86
01/04/42,2.83
01/05/42,2.85
01/06/42,2.85
01/07/42,2.83
01/08/42,2.81
01/09/42,2.8
01/10/42,2.8
01/11/42,2.79
01/12/42,2.81
01/01/43,2.79
01/02/43,2.77
01/03/43,2.76
01/04/43,2.76
01/05/43,2.74
01/06/43,2.72
01/07/43,2.69
01/08/43,2.69
01/09/43,2.69
01/10/43,2.7
01/11/43,2.71
01/12/43,2.74
01/01/44,2.72
01/02/44,2.74
01/03/44,2.74
01/04/44,2.74
01/05/44,2.73
01/06/44,2.73
01/07/44,2.72
01/08/44,2.71
01/09/44,2.72
01/10/44,2.72
01/11/44,2.72
01/12/44,2.7
01/01/45,2.69
01/02/45,2.65
01/03/45,2.62
01/04/45,2.61
01/05/45,2.62
01/06/45,2.61
01/07/45,2.6
01/08/45,2.61
01/09/45,2.62
01/10/45,2.62
01/11/45,2.62
01/12/45,2.61
01/01/46,2.54
01/02/46,2.48
01/03/46,2.47
01/04/46,2.46
01/05/46,2.51
01/06/46,2.49
01/07/46,2.48
01/08/46,2.51
01/09/46,2.58
01/10/46,2.6
01/11/46,2.59
01/12/46,2.61
01/01/47,2.57
01/02/47,2.55
01/03/47,2.55
01/04/47,2.53
01/05/47,2.53
01/06/47,2.55
01/07/47,2.55
01/08/47,2.56
01/09/47,2.61
01/10/47,2.7
01/11/47,2.77
01/12/47,2.86
01/01/48,2.86
01/02/48,2.85
01/03/48,2.83
01/04/48,2.78
01/05/48,2.76
01/06/48,2.76
01/07/48,2.81
01/08/48,2.84
01/09/48,2.84
01/10/48,2.84
01/11/48,2.84
01/12/48,2.79
01/01/49,2.71
01/02/49,2.71
01/03/49,2.7
01/04/49,2.7
01/05/49,2.71
01/06/49,2.71
01/07/49,2.67
01/08/49,2.62
01/09/49,2.6
01/10/49,2.61
01/11/49,2.6
01/12/49,2.58
01/01/50,2.57
01/02/50,2.58
01/03/50,2.58
01/04/50,2.6
01/05/50,2.61
01/06/50,2.62
01/07/50,2.65
01/08/50,2.61
01/09/50,2.64
01/10/50,2.67
01/11/50,2.67
01/12/50,2.67
01/01/51,2.66
01/02/51,2.66
01/03/51,2.78
01/04/51,2.87
01/05/51,2.89
01/06/51,2.94
01/07/51,2.94
01/08/51,2.88
01/09/51,2.84
01/10/51,2.89
01/11/51,2.96
01/12/51,3.01
01/01/52,2.98
01/02/52,2.93
01/03/52,2.96
01/04/52,2.93
01/05/52,2.93
01/06/52,2.94
01/07/52,2.95
01/08/52,2.94
01/09/52,2.95
01/10/52,3.01
01/11/52,2.98
01/12/52,2.97
01/01/53,3.02
01/02/53,3.07
01/03/53,3.12
01/04/53,3.23
01/05/53,3.34
01/06/53,3.4
01/07/53,3.28
01/08/53,3.24
01/09/53,3.29
01/10/53,3.16
01/11/53,3.11
01/12/53,3.13
01/01/54,3.06
01/02/54,2.95
01/03/54,2.86
01/04/54,2.85
01/05/54,2.88
01/06/54,2.9
01/07/54,2.89
01/08/54,2.87
01/09/54,2.89
01/10/54,2.87
01/11/54,2.89
01/12/54,2.9
01/01/55,2.93
01/02/55,2.93
01/03/55,3.02
01/04/55,3.01
01/05/55,3.04
01/06/55,3.05
01/07/55,3.06
01/08/55,3.11
01/09/55,3.13
01/10/55,3.1
01/11/55,3.1
01/12/55,3.15
01/01/56,3.11
01/02/56,3.08
01/03/56,3.1
01/04/56,3.24
01/05/56,3.28
01/06/56,3.26
01/07/56,3.28
01/08/56,3.43
01/09/56,3.56
01/10/56,3.59
01/11/56,3.69
01/12/56,3.75
01/01/57,3.77
01/02/57,3.67
01/03/57,3.66
01/04/57,3.67
01/05/57,3.74
01/06/57,3.91
01/07/57,3.99
01/08/57,4.1
01/09/57,4.12
01/10/57,4.1
01/11/57,4.08
01/12/57,3.81
01/01/58,3.6
01/02/58,3.59
01/03/58,3.63
01/04/58,3.6
01/05/58,3.57
01/06/58,3.57
01/07/58,3.67
01/08/58,3.85
01/09/58,4.09
01/10/58,4.11
01/11/58,4.09
01/12/58,4.08
01/01/59,4.12
01/02/59,4.14
01/03/59,4.13
01/04/59,4.23
01/05/59,4.37
01/06/59,4.46
01/07/59,4.47
01/08/59,4.43
01/09/59,4.52
01/10/59,4.57
01/11/59,4.56
01/12/59,4.58
01/01/60,4.61
01/02/60,4.56
01/03/60,4.49
01/04/60,4.45
01/05/60,4.46
01/06/60,4.45
01/07/60,4.41
01/08/60,4.28
01/09/60,4.25
01/10/60,4.3
01/11/60,4.31
01/12/60,4.35
01/01/61,4.32
01/02/61,4.27
01/03/61,4.22
01/04/61,4.25
01/05/61,4.27
01/06/61,4.33
01/07/61,4.41
01/08/61,4.45
01/09/61,4.45
01/10/61,4.42
01/11/61,4.39
01/12/61,4.42
01/01/62,4.42
01/02/62,4.42
01/03/62,4.39
01/04/62,4.33
01/05/62,4.28
01/06/62,4.28
01/07/62,4.34
01/08/62,4.35
01/09/62,4.32
01/10/62,4.28
01/11/62,4.25
01/12/62,4.24
01/01/63,4.21
01/02/63,4.19
01/03/63,4.19
01/04/63,4.21
01/05/63,4.22
01/06/63,4.23
01/07/63,4.26
01/08/63,4.29
01/09/63,4.31
01/10/63,4.32
01/11/63,4.33
01/12/63,4.35
01/01/64,4.39
01/02/64,4.36
01/03/64,4.38
01/04/64,4.4
01/05/64,4.41
01/06/64,4.41
01/07/64,4.4
01/08/64,4.41
01/09/64,4.42
01/10/64,4.42
01/11/64,4.43
01/12/64,4.44
01/01/65,4.43
01/02/65,4.41
01/03/65,4.42
01/04/65,4.43
01/05/65,4.44
01/06/65,4.46
01/07/65,4.48
01/08/65,4.49
01/09/65,4.52
01/10/65,4.56
01/11/65,4.6
01/12/65,4.68
01/01/66,4.74
01/02/66,4.78
01/03/66,4.92
01/04/66,4.96
01/05/66,4.98
01/06/66,5.07
01/07/66,5.16
01/08/66,5.31
01/09/66,5.49
01/10/66,5.41
01/11/66,5.35
01/12/66,5.39
01/01/67,5.2
01/02/67,5.03
01/03/67,5.13
01/04/67,5.11
01/05/67,5.24
01/06/67,5.44
01/07/67,5.58
01/08/67,5.62
01/09/67,5.65
01/10/67,5.82
01/11/67,6.07
01/12/67,6.19
01/01/68,6.17
01/02/68,6.1
01/03/68,6.11
01/04/68,6.21
01/05/68,6.27
01/06/68,6.28
01/07/68,6.24
01/08/68,6.02
01/09/68,5.97
01/10/68,6.09
01/11/68,6.19
01/12/68,6.45
01/01/69,6.59
01/02/69,6.66
01/03/69,6.85
01/04/69,6.89
01/05/69,6.79
01/06/69,6.98
01/07/69,7.08
01/08/69,6.97
01/09/69,7.14
01/10/69,7.33
01/11/69,7.35
01/12/69,7.72
01/01/70,7.91
01/02/70,7.93
01/03/70,7.84
01/04/70,7.83
01/05/70,8.11
01/06/70,8.48
01/07/70,8.44
01/08/70,8.13
01/09/70,8.09
01/10/70,8.03
01/11/70,8.05
01/12/70,7.64
01/01/71,7.36
01/02/71,7.08
01/03/71,7.21
01/04/71,7.25
01/05/71,7.53
01/06/71,7.64
01/07/71,7.64
01/08/71,7.59
01/09/71,7.44
01/10/71,7.39
01/11/71,7.26
01/12/71,7.25
01/01/72,7.19
01/02/72,7.27
01/03/72,7.24
01/04/72,7.3
01/05/72,7.3
01/06/72,7.23
01/07/72,7.21
01/08/72,7.19
01/09/72,7.22
01/10/72,7.21
01/11/72,7.12
01/12/72,7.08
01/01/73,7.15
01/02/73,7.22
01/03/73,7.29
01/04/73,7.26
01/05/73,7.29
01/06/73,7.37
01/07/73,7.45
01/08/73,7.68
01/09/73,7.63
01/10/73,7.6
01/11/73,7.67
01/12/73,7.68
01/01/74,7.83
01/02/74,7.85
01/03/74,8.01
01/04/74,8.25
01/05/74,8.37
01/06/74,8.47
01/07/74,8.72
01/08/74,9
01/09/74,9.24
01/10/74,9.27
01/11/74,8.89
01/12/74,8.89
01/01/75,8.83
01/02/75,8.62
01/03/75,8.67
01/04/75,8.95
01/05/75,8.9
01/06/75,8.77
01/07/75,8.84
01/08/75,8.95
01/09/75,8.95
01/10/75,8.86
01/11/75,8.78
01/12/75,8.79
01/01/76,8.6
01/02/76,8.55
01/03/76,8.52
01/04/76,8.4
01/05/76,8.58
01/06/76,8.62
01/07/76,8.56
01/08/76,8.45
01/09/76,8.38
01/10/76,8.32
01/11/76,8.25
01/12/76,7.98
01/01/77,7.96
01/02/77,8.04
01/03/77,8.1
01/04/77,8.04
01/05/77,8.05
01/06/77,7.95
01/07/77,7.94
01/08/77,7.98
01/09/77,7.92
01/10/77,8.04
01/11/77,8.08
01/12/77,8.19
01/01/78,8.41
01/02/78,8.47
01/03/78,8.47
01/04/78,8.56
01/05/78,8.69
01/06/78,8.76
01/07/78,8.88
01/08/78,8.69
01/09/78,8.69
01/10/78,8.89
01/11/78,9.03
01/12/78,9.16
01/01/79,9.25
01/02/79,9.26
01/03/79,9.37
01/04/79,9.38
01/05/79,9.5
01/06/79,9.29
01/07/79,9.2
01/08/79,9.23
01/09/79,9.44
01/10/79,10.13
01/11/79,10.76
01/12/79,10.74
01/01/80,11.09
01/02/80,12.38
01/03/80,12.96
01/04/80,12.04
01/05/80,10.99
01/06/80,10.58
01/07/80,11.07
01/08/80,11.64
01/09/80,12.02
01/10/80,12.31
01/11/80,12.97
01/12/80,13.21
01/01/81,12.81
01/02/81,13.35
01/03/81,13.33
01/04/81,13.88
01/05/81,14.32
01/06/81,13.75
01/07/81,14.38
01/08/81,14.89
01/09/81,15.49
01/10/81,15.4
01/11/81,14.22
01/12/81,14.23
01/01/82,15.18
01/02/82,15.27
01/03/82,14.58
01/04/82,14.46
01/05/82,14.26
01/06/82,14.81
01/07/82,14.61
01/08/82,13.71
01/09/82,12.94
01/10/82,12.12
01/11/82,11.68
01/12/82,11.83
01/01/83,11.79
01/02/83,12.01
01/03/83,11.73
01/04/83,11.51
01/05/83,11.46
01/06/83,11.74
01/07/83,12.15
01/08/83,12.51
01/09/83,12.37
01/10/83,12.25
01/11/83,12.41
01/12/83,12.57
01/01/84,12.2
01/02/84,12.08
01/03/84,12.57
01/04/84,12.81
01/05/84,13.28
01/06/84,13.55
01/07/84,13.44
01/08/84,12.87
01/09/84,12.66
01/10/84,12.63
01/11/84,12.29
01/12/84,12.13
01/01/85,12.08
01/02/85,12.13
01/03/85,12.56
01/04/85,12.23
01/05/85,11.72
01/06/85,10.94
01/07/85,10.97
01/08/85,11.05
01/09/85,11.07
01/10/85,11.02
01/11/85,10.55
01/12/85,10.16
01/01/86,10.05
01/02/86,9.67
01/03/86,9
01/04/86,8.79
01/05/86,9.09
01/06/86,9.13
01/07/86,8.88
01/08/86,8.72
01/09/86,8.89
01/10/86,8.86
01/11/86,8.68
01/12/86,8.49
01/01/87,8.36
01/02/87,8.38
01/03/87,8.36
01/04/87,8.85
01/05/87,9.33
01/06/87,9.32
01/07/87,9.42
01/08/87,9.67
01/09/87,10.18
01/10/87,10.52
01/11/87,10.01
01/12/87,10.11
01/01/88,9.88
01/02/88,9.4
01/03/88,9.39
01/04/88,9.67
01/05/88,9.9
01/06/88,9.86
01/07/88,9.96
01/08/88,10.11
01/09/88,9.82
01/10/88,9.51
01/11/88,9.45
01/12/88,9.57
01/01/89,9.62
01/02/89,9.64
01/03/89,9.8
01/04/89,9.79
01/05/89,9.57
01/06/89,9.1
01/07/89,8.93
01/08/89,8.96
01/09/89,9.01
01/10/89,8.92
01/11/89,8.89
01/12/89,8.86
01/01/90,8.99
01/02/90,9.22
01/03/90,9.37
01/04/90,9.46
01/05/90,9.47
01/06/90,9.26
01/07/90,9.24
01/08/90,9.41
01/09/90,9.56
01/10/90,9.53
01/11/90,9.3
01/12/90,9.05
01/01/91,9.04
01/02/91,8.83
01/03/91,8.93
01/04/91,8.86
01/05/91,8.86
01/06/91,9.01
01/07/91,9
01/08/91,8.75
01/09/91,8.61
01/10/91,8.55
01/11/91,8.48
01/12/91,8.31
01/01/92,8.2
01/02/92,8.29
01/03/92,8.35
01/04/92,8.33
01/05/92,8.28
01/06/92,8.22
01/07/92,8.07
01/08/92,7.95
01/09/92,7.92
01/10/92,7.99
01/11/92,8.1
01/12/92,7.98
01/01/93,7.91
01/02/93,7.71
01/03/93,7.58
01/04/93,7.46
01/05/93,7.43
01/06/93,7.33
01/07/93,7.17
01/08/93,6.85
01/09/93,6.66
01/10/93,6.67
01/11/93,6.93
01/12/93,6.93
01/01/94,6.92
01/02/94,7.08
01/03/94,7.48
01/04/94,7.88
01/05/94,7.99
01/06/94,7.97
01/07/94,8.11
01/08/94,8.07
01/09/94,8.34
01/10/94,8.57
01/11/94,8.68
01/12/94,8.46
01/01/95,8.46
01/02/95,8.26
01/03/95,8.12
01/04/95,8.03
01/05/95,7.65
01/06/95,7.3
01/07/95,7.41
01/08/95,7.57
01/09/95,7.32
01/10/95,7.12
01/11/95,7.02
01/12/95,6.82
01/01/96,6.81
01/02/96,6.99
01/03/96,7.35
01/04/96,7.5
01/05/96,7.62
01/06/96,7.71
01/07/96,7.65
01/08/96,7.46
01/09/96,7.66
01/10/96,7.39
01/11/96,7.1
01/12/96,7.2
01/01/97,7.42
01/02/97,7.31
01/03/97,7.55
01/04/97,7.73
01/05/97,7.58
01/06/97,7.41
01/07/97,7.14
01/08/97,7.22
01/09/97,7.15
01/10/97,7
01/11/97,6.87
01/12/97,6.76
01/01/98,6.61
01/02/98,6.67
01/03/98,6.72
01/04/98,6.69
01/05/98,6.69
01/06/98,6.53
01/07/98,6.55
01/08/98,6.52
01/09/98,6.4
01/10/98,6.37
01/11/98,6.41
01/12/98,6.22
01/01/99,6.24
01/02/99,6.4
01/03/99,6.62
01/04/99,6.64
01/05/99,6.93
01/06/99,7.23
01/07/99,7.19
01/08/99,7.4
01/09/99,7.39
01/10/99,7.55
01/11/99,7.36
01/12/99,7.55
01/01/00,7.78
01/02/00,7.68
01/03/00,7.68
01/04/00,7.64
01/05/00,7.99
01/06/00,7.67
01/07/00,7.65
01/08/00,7.55
01/09/00,7.62
01/10/00,7.55
01/11/00,7.45
01/12/00,7.21
01/01/01,7.15
01/02/01,7.1
01/03/01,6.98
01/04/01,7.2
01/05/01,7.29
01/06/01,7.18
01/07/01,7.13
01/08/01,7.02
01/09/01,7.17
01/10/01,7.03
01/11/01,6.97
01/12/01,6.77
01/01/02,6.55
01/02/02,6.51
01/03/02,6.81
01/04/02,6.76
01/05/02,6.75
01/06/02,6.63
01/07/02,6.53
01/08/02,6.37
01/09/02,6.15
01/10/02,6.32
01/11/02,6.31
01/12/02,6.21
01/01/03,6.17
01/02/03,5.95
01/03/03,5.89
01/04/03,5.74
01/05/03,5.22
01/06/03,4.97
01/07/03,5.49
01/08/03,5.88
01/09/03,5.72
01/10/03,5.7
01/11/03,5.65
01/12/03,5.62
01/01/04,5.54
01/02/04,5.5
01/03/04,5.33
01/04/04,5.73
01/05/04,6.04
01/06/04,6.01
01/07/04,5.82
01/08/04,5.65
01/09/04,5.46
01/10/04,5.47
01/11/04,5.52
01/12/04,5.47
01/01/05,5.36
01/02/05,5.2
01/03/05,5.4
01/04/05,5.33
01/05/05,5.15
01/06/05,4.96
01/07/05,5.06
01/08/05,5.09
01/09/05,5.13
01/10/05,5.35
01/11/05,5.42
01/12/05,5.37
01/01/06,5.29
01/02/06,5.35
01/03/06,5.53
01/04/06,5.84
01/05/06,5.95
01/06/06,5.89
01/07/06,5.85
01/08/06,5.68
01/09/06,5.51
01/10/06,5.51
01/11/06,5.33
01/12/06,5.32
01/01/07,5.4
01/02/07,5.39
01/03/07,5.3
01/04/07,5.47
01/05/07,5.47
01/06/07,5.79
01/07/07,5.73
01/08/07,5.79
01/09/07,5.74
01/10/07,5.66
01/11/07,5.44
01/12/07,5.49
01/01/08,5.33
01/02/08,5.53
01/03/08,5.51
01/04/08,5.55
01/05/08,5.57
01/06/08,5.68
01/07/08,5.67
01/08/08,5.64
01/09/08,5.65
01/10/08,6.28
01/11/08,6.12
01/12/08,5.05
01/01/09,5.05
01/02/09,5.27
01/03/09,5.5
01/04/09,5.39
01/05/09,5.54
01/06/09,5.61
01/07/09,5.41
01/08/09,5.26
01/09/09,5.13
01/10/09,5.15
01/11/09,5.19
01/12/09,5.26
01/01/10,5.26
01/02/10,5.35
01/03/10,5.27
01/04/10,5.29
01/05/10,4.96
01/06/10,4.88
01/07/10,4.72
01/08/10,4.49
01/09/10,4.53
01/10/10,4.68
01/11/10,4.87
01/12/10,5.02
01/01/11,5.04
01/02/11,5.22
01/03/11,5.13
01/04/11,5.16
01/05/11,4.96
01/06/11,4.99
01/07/11,4.93
01/08/11,4.37
01/09/11,4.09
01/10/11,3.98
01/11/11,3.87
01/12/11,3.93
01/01/12,3.85
01/02/12,3.85
01/03/12,3.99
01/04/12,3.96
01/05/12,3.8
01/06/12,3.64
01/07/12,3.4
01/08/12,3.48
01/09/12,3.49
01/10/12,3.47
01/11/12,3.5
01/12/12,3.65
01/01/13,3.8
01/02/13,3.9
01/03/13,3.93
01/04/13,3.73
01/05/13,3.89
01/06/13,4.27
01/07/13,4.34
01/08/13,4.54
01/09/13,4.64
01/10/13,4.53
01/11/13,4.63
01/12/13,4.62
01/01/14,4.49
01/02/14,4.45
01/03/14,4.38
01/04/14,4.24
01/05/14,4.16
01/06/14,4.25
01/07/14,4.16
01/08/14,4.08
01/09/14,4.11
01/10/14,3.92
01/11/14,3.92
01/12/14,3.79
01/01/15,3.46
01/02/15,3.61
01/03/15,3.64
01/04/15,3.52
01/05/15,3.98
01/06/15,4.19
01/07/15,4.15
01/08/15,4.04
01/09/15,4.07
01/10/15,3.95
01/11/15,4.06
01/12/15,3.97
01/01/16,4
01/02/16,3.96
01/03/16,3.82
01/04/16,3.62
01/05/16,3.65
